track_id,track_name,artist_spotify,macro_genre,danceability,energy,valence,popularity,year
6w8ZPYdnGajyfPddTWdthN,Can I Get It,Adele,Other,0.703,0.68,0.536,74,2021
6wOazYrDGLhMAhwU6RArlg,Sing My Pleasure,ヴィヴィ(Vo.八木海莉),Other,0.477,0.954,0.455,55,2021
6wmAHw1szh5RCKSRjiXhPe,How Long,Charlie Puth,Electronic/Dance,0.845,0.561,0.811,73,2020
6xW2g0c5uSoa3S6xk9eI4j,W (feat. Gunna),Koffee;Gunna,Electronic/Dance,0.856,0.721,0.902,61,2020
6xcJyGpfZbuuiequtnlKt4,BUTTERFLY EFFECT,Travis Scott,Electronic/Dance,0.764,0.628,0.196,56,2020
6y4GYuZszeXNOXuBFsJlos,Kaikai Kitan,Eve,Other,0.584,0.911,0.606,75,2021
6zEgnpM0qYmHLDnh8WPejL,Amarillo,J Balvin,Latin,0.641,0.857,0.961,69,2020
6zN6wjHO3ALVCIQQhSqqqN,Thank You Lord (feat.Thomas Rhett & Florida Georgia Line),Chris Tomlin;Thomas Rhett;Florida Georgia Line,Other,0.667,0.881,0.711,51,2020
6zyozkRLgDlqZIUJzCwkgP,Dil Na Jaaneya,Rochak Kohli;Lauv;AKASA,Pop,0.791,0.348,0.49,65,2020
70IVQO4Pfr0oMszh7KLfjK,すきっ!,Tokimeki Sendenbu,Other,0.572,0.952,0.445,45,2021
70Znjq5VPKFrwlB7O26SWT,Zanzibar,Billy Joel,Other,0.589,0.46,0.705,62,2021
716eVtciaJCtTcaknS3QXr,imagine,Ben Platt,Other,0.542,0.412,0.284,65,2021
72OVnXDzugvrCU25lMi9au,"如果可以 - 電影""月老""主題曲",WeiBird,Pop,0.54,0.54,0.372,71,2021
72gv4zhNvRVdQA0eOenCal,Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,Electronic/Dance,0.715,0.605,0.454,76,2020
72hpTHMLFrO4ErhSQl2FhZ,Can't Stop Lovin' You,Van Halen,Rock/Alternative,0.592,0.898,0.537,63,2020
72zHuDxFQTjbL51qJQSA7j,"Ranjha (From ""Shershaah"")",Jasleen Royal;B Praak;Romy;Anvita Dutt,Other,0.603,0.573,0.236,77,2021
73QyyUMMvtNELmULI4FOsp,You for Me,Sigala;Rita Ora,Electronic/Dance,0.733,0.886,0.696,73,2021
73X9X7kDgsm4YeHpc8prf6,Apricots,Bicep,Other,0.819,0.599,0.489,54,2020
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),Doja Cat;SZA,Electronic/Dance,0.762,0.701,0.742,82,2021
74kCarkFBzXYXNkkYJIsG0,Alag Aasmaan,Anuv Jain,Other,0.699,0.299,0.459,70,2020
74q87Kpoy1HlvV4CXjjT22,2much,Idkconundrum,Other,0.9,0.256,0.463,29,2020
74qF0JeFMVilMEeFDiQZ48,"Mummy Nu Pasand (From ""Jai Mummy Di"")",Sunanda Sharma;Tanishk Bagchi,Hip-Hop/Rap,0.776,0.969,0.802,63,2020
776AftMmFFAWUIEAb3lHhw,ZITTI E BUONI,Måneskin,Pop,0.625,0.939,0.644,76,2021
77Bt2DXJE1R1qsnm4D10Ox,Breakups,Seaforth,Country,0.531,0.552,0.328,59,2021
77KnJc8o5G1eKVwX5ywMeZ,Mind Over Matter (Reprise),Young the Giant,Rock/Alternative,0.393,0.487,0.3,75,2021
784GPgdhVSiPCOAFA1X3rr,Watercolour,Sanjeeta Bhattacharya;Dhruv Visvanath,Acoustic/Folk,0.514,0.147,0.339,35,2020
78lgmZwycJ3nzsdgmPPGNx,Immigrant Song - Remaster,Led Zeppelin,Rock/Alternative,0.564,0.932,0.619,78,2020
78qd8dvwea0Gosb6Fe6j3k,Boss Bitch,Doja Cat,Electronic/Dance,0.707,0.955,0.575,79,2020
7AHKnQ6XB5l7GL4pTJWLZn,Kutty Pattas,Santhosh Dhayanidhi;Rakshita Suresh,Pop,0.895,0.467,0.742,65,2021
7AIj86wFWqm7X1TZ2hzHwS,虹,Masaki Suda,Other,0.548,0.6,0.296,62,2020
7B3z0ySL9Rr0XvZEAjWZzM,Sofia,Clairo,Pop,0.744,0.619,0.641,81,2020
7BKLCZ1jbUBVqRi2FVlTVw,Closer,The Chainsmokers;Halsey,Electronic/Dance,0.748,0.524,0.661,84,2020
7Bk0uXKk1uPT0XuQbpFzvs,Fiel,Los Legendarios;Wisin;Jhay Cortez,Latin,0.849,0.701,0.505,75,2021
7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,Rock/Alternative,0.855,0.463,0.866,76,2021
7CAbF0By0Fpnbiu6Xn5ZF7,Kingslayer (feat. BABYMETAL),Bring Me The Horizon;BABYMETAL,Rock/Alternative,0.434,0.929,0.428,72,2020
7CFfqRW50ffULvBv7lfIIg,Violent,carolesdaughter,Pop,0.797,0.755,0.411,72,2021
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA;Becky Hill;Goodboys,Electronic/Dance,0.598,0.526,0.529,78,2020
7CZKnz9mEt8Z638tyY5cKL,Eden,Monkey Majik,Pop,0.54,0.752,0.462,54,2020
7D0Ntx3LMFMPNtSViJLS4D,Carnaval Del Barrio,Daphne Rubin-Vega;Stephanie Beatriz;Dascha Polanco;Melissa Barrera;Lin-Manuel Miranda;Corey Hawkins;Gregory Diaz IV;Leslie Grace;Anthony Ramos,Other,0.546,0.563,0.7,53,2021
7D7e6hm2LiNd6nLuJF6K9Q,Hex,80purppp,Other,0.845,0.398,0.482,79,2021
7EkWXAI1wn8Ii883ecd9xr,Freaks,Surf Curse,Pop,0.345,0.941,0.407,86,2021
